t	level_1	0.025	0.25	0.5	0.75	0.975
96.0	0	0.025803082664377006	0.058760693652878296	0.08381148156581911	0.11234134221985646	0.18088082114370577
97.0	0	0.02599785853299964	0.05968527493141775	0.08520012312525374	0.11463062392542261	0.18345618139374872
98.0	0	0.02614359122702089	0.06082426939411116	0.08685241138908426	0.11678438923515289	0.18641455543206098
99.0	0	0.026628641056357264	0.06196952561615103	0.0883237352586204	0.1189338475344535	0.18964097971785704
100.0	0	0.026907695684545603	0.06309246237947241	0.08983039686866214	0.12100347132173613	0.19297277085716044
101.0	0	0.02715032630389296	0.06404435337709283	0.09130702928607506	0.12299402687240023	0.19641464756217275
102.0	0	0.027393775869251673	0.0650191842810781	0.0931487634744319	0.1248330770355743	0.20002341997986717
103.0	0	0.027794232153959885	0.06609311559572943	0.09484208642423518	0.12700988953170528	0.2032107988416363
104.0	0	0.028380767478891206	0.06777313385385104	0.096297980124169	0.12975324412447073	0.20657595554404906
105.0	0	0.02906457991177811	0.06890848224247843	0.09797933960819842	0.13167854938599988	0.20987281175622724
106.0	0	0.02981339176741677	0.07051255810988935	0.09974055251311226	0.13355279016060445	0.21312767082290293
107.0	0	0.030402418949270208	0.07166487200883856	0.10143948639757287	0.13600731972840774	0.21673706037638696
108.0	0	0.03093993639877116	0.07287132235134955	0.10301551992971938	0.1381958004045157	0.21985256128003042
109.0	0	0.031456882439898366	0.07436234777064073	0.10475385549483597	0.14026356847998214	0.2225203362149538
110.0	0	0.031979134923292796	0.07564119981211352	0.10641066103065369	0.14233235527489213	0.22577502860371915
111.0	0	0.03249253821708815	0.07710662427178681	0.10806722256781996	0.14475440577383852	0.22931013044442408
112.0	0	0.03299740552618725	0.07824189158693015	0.10994897513116655	0.14717509621335967	0.23300705796057766
113.0	0	0.033534002054352585	0.0795844001182641	0.1118020105257136	0.14967080430711646	0.2367146365352446
114.0	0	0.034487280981281045	0.08039001796780015	0.11351418031019193	0.1521146739743278	0.24025102256351066
115.0	0	0.03571028795830422	0.08164091259054966	0.1155344830493151	0.1545834245426804	0.24380324867163677
116.0	0	0.03695683796690104	0.08331304326676739	0.11750890666106517	0.1573167404716655	0.24735663065737107
117.0	0	0.03776262502134277	0.08452224641479554	0.11955749644609238	0.159525304761394	0.25101153711202506
118.0	0	0.03828441933383993	0.08576715543795237	0.12138911507505128	0.1621290070648198	0.254670704367585
119.0	0	0.038806433976669476	0.08722780630890524	0.12351863921808252	0.16494177642291571	0.25815842478164824
120.0	0	0.0394628394711501	0.08886399785434132	0.12540565851877716	0.16785631976558651	0.26164401629880596
121.0	0	0.04018258034126569	0.09009106274618063	0.12700814508893812	0.17074476029450394	0.2652301285123171
122.0	0	0.041082382792708594	0.09136671243492002	0.12898102192648334	0.17361653448073613	0.2689328706976337
123.0	0	0.041984937720971685	0.09284773754996503	0.13140507177618704	0.17643190361451952	0.2726402102250589
124.0	0	0.04288851802917658	0.09420906534171478	0.13356164303632917	0.17893752646716082	0.27634905046323727
125.0	0	0.04379383191290023	0.09607561030623006	0.13513790020016153	0.1813401253105875	0.2798013888108491
126.0	0	0.04470202524904275	0.09756067309500183	0.13735789267135265	0.18352232977730712	0.2832142102076719
127.0	0	0.04557579639815218	0.09930166983264138	0.13958501917099642	0.18611542858734162	0.286566564946391
128.0	0	0.04658910332628087	0.10056237701802442	0.14191079771881535	0.18863544145367203	0.2901242620427267
129.0	0	0.047471222143119524	0.10218064144966948	0.14389197514217808	0.19086446952407754	0.2932471652274739
130.0	0	0.04843165242094014	0.10366153377241412	0.14611300559738025	0.19375253985124494	0.2973187539509218
131.0	0	0.04930315250911904	0.10509101472242517	0.1484620705920421	0.19650011703107226	0.301269850813118
132.0	0	0.04999767662424631	0.10698223696726279	0.1507648280254547	0.1995669067908422	0.30521354412481244
133.0	0	0.050977156600639076	0.10833088265356569	0.15283591647517886	0.20190695004615355	0.3097069030669626
134.0	0	0.05131776118668247	0.10960698453962156	0.1552192911696028	0.20466442201805513	0.3143058791618682
135.0	0	0.05165834852397889	0.11114776401127911	0.15751597048635976	0.2072011982771138	0.31863762772425036
136.0	0	0.05208116345709308	0.11291324975007205	0.160045545818852	0.20949762151696746	0.3229004674064268
137.0	0	0.053155078374880475	0.1145037500126315	0.16221429631222647	0.2120446617078804	0.32705856681972556
138.0	0	0.05443243591010724	0.11602528998763398	0.16490747725113078	0.21455334724136912	0.33091519412045917
139.0	0	0.05578971343728042	0.11765505717543535	0.16716434731512658	0.217492329518798	0.3345927797973577
140.0	0	0.05693470252146269	0.11976905637896935	0.16938887140693	0.22056859560278944	0.33820785544639653
141.0	0	0.05756647380254394	0.12204415000552284	0.17161832091095924	0.2236989941514222	0.34182141683500006
142.0	0	0.05820064108308746	0.12364642698698576	0.1738494317789506	0.22668779996545363	0.34543672792553304
143.0	0	0.058837933338986896	0.12520565480558277	0.1761246494809916	0.23012896015113962	0.35006725022875257
144.0	0	0.059479318818558516	0.1270823236618622	0.17861390412146924	0.23262034980404003	0.3545215043335751
145.0	0	0.06012606038839129	0.12894414802825524	0.18122126673226654	0.23589412285892566	0.35897836154434565
146.0	0	0.06077981790903995	0.1305985225523261	0.18393374400779305	0.23874542857973532	0.36329353168602946
147.0	0	0.06149116242817456	0.1322675447236394	0.18673673167227178	0.24231401779856296	0.36751941138009603
148.0	0	0.06244339680089506	0.1339071458501629	0.18860683070581344	0.24555752844917542	0.3715930415966236
149.0	0	0.06436253595275866	0.13556139641737808	0.19032237629762738	0.24821037531630083	0.37587882454873744
150.0	0	0.06618100552818472	0.1372811089349015	0.1923816017589538	0.25137176508497444	0.3799977102617831
151.0	0	0.06720734521265168	0.13916898610556436	0.19511399989465358	0.25479758685907783	0.3841178476518344
152.0	0	0.06781279061995403	0.1409518585245674	0.19789419810878645	0.2584725919988731	0.38823833464601004
153.0	0	0.06871921893870034	0.14273908200980823	0.20074719204435107	0.26165465560003176	0.39254895480566115
154.0	0	0.07015191576682732	0.1450121012757226	0.20358146923350706	0.2647987995040837	0.39733684844257866
155.0	0	0.07166560161002389	0.14734805014567257	0.2061965960795319	0.2674263994380935	0.4015413462867141
156.0	0	0.07258743611401437	0.1495681811160255	0.208383444940041	0.27094227284309397	0.40497220291207897
157.0	0	0.07332963633183576	0.15165316516471058	0.21077797000811418	0.2739349099300592	0.40914290558450606
158.0	0	0.07420873113895944	0.1537376189024589	0.21345916983527644	0.27721846518881166	0.4130769685704369
159.0	0	0.07527463597926268	0.155716377570018	0.21596675288223005	0.2811010706310573	0.4178151703085452
160.0	0	0.07653285708485119	0.15747192373291208	0.2182864611850651	0.28490271246138094	0.42309110149692614
161.0	0	0.07781905346723506	0.1592238916688759	0.22065537722824463	0.28870875484725433	0.42836921215834
162.0	0	0.07911480392449693	0.16097475933053332	0.22374621717292484	0.29248176452550845	0.4336512671393117
163.0	0	0.07994807218856252	0.16297337838246476	0.2268650697027326	0.2962146026435731	0.43937454777439794
164.0	0	0.08078035336783533	0.16567330053590798	0.22960094521088922	0.2993329145464448	0.4456772034508494
165.0	0	0.08161263095375523	0.16739327496986986	0.23242951633451597	0.302451619861312	0.45158684050940334
166.0	0	0.08247578282751349	0.1694640233110326	0.2348511700880222	0.30559798319572523	0.4568508334274726
167.0	0	0.08357376822907714	0.17173034234347687	0.2374947188316225	0.309414478058858	0.4619521655533819
168.0	0	0.08499271691664811	0.17368065932461477	0.2408278385434427	0.3132113589716918	0.46737730775377473
169.0	0	0.08669193994725206	0.17556675425351329	0.2438057086437293	0.3170474395196608	0.4737911144703337
170.0	0	0.08859697553178703	0.17719882367413328	0.24700879590541094	0.3201288930947915	0.47930273577987476
171.0	0	0.09067352723257818	0.17932756580337864	0.24940237645900296	0.3231341016325957	0.4841986367057097
172.0	0	0.09214001838520272	0.1814843808678625	0.2521957184109058	0.32612720055309813	0.489098126790429
173.0	0	0.09360517922203028	0.18348295328917408	0.2557104676931718	0.3295638622077174	0.49374809726594915
174.0	0	0.09525099575320459	0.18550329381261108	0.25858339998210356	0.33306426761405616	0.49870492055772375
175.0	0	0.09684922756023936	0.18761993655202183	0.26165480926608103	0.33689796774230324	0.503934054899785
176.0	0	0.0981931549514378	0.18956655041053264	0.2645843638659894	0.3415336224790295	0.5089962023416905
177.0	0	0.09970358220243529	0.1916118853475276	0.26785791483615085	0.3450193960217103	0.5140454755443713
178.0	0	0.10121395920796307	0.19408766584582207	0.2714628455803455	0.348813641029202	0.5191117085035296
179.0	0	0.10272413121010653	0.1964148962753198	0.2745187529053803	0.3530576615741915	0.5241852174018637
180.0	0	0.10423430321224998	0.19883713080189971	0.27727889546308454	0.3561452030193118	0.5292606871074269
181.0	0	0.10574447521439342	0.201688475864491	0.28049166778748846	0.3591421153063634	0.534483633394306
182.0	0	0.10761139175062807	0.2040630360039866	0.2834692560672969	0.3626384425379081	0.5401131328735326
183.0	0	0.1091896439658948	0.2065894155711817	0.28612871814653285	0.366378347978586	0.5457462698946518
184.0	0	0.11044712990375216	0.2088876921080129	0.2886200930085017	0.3702651778706728	0.5513373335827847
185.0	0	0.11185906054645932	0.21119668712016587	0.29175841591009255	0.3737110040200728	0.556351566371034
186.0	0	0.1132953352251073	0.21370966391539262	0.2951730515794155	0.37724268129267846	0.5611297567558655
187.0	0	0.1148055803200442	0.2159004654025238	0.29838001433417527	0.3813398800115738	0.5657437579651126
188.0	0	0.11631596679806017	0.21817868856835168	0.30120214578497156	0.3853732684796076	0.570909271251986
189.0	0	0.11782659891193574	0.2205944603923754	0.3047206062947135	0.3894783289994906	0.5761409503497646
190.0	0	0.1193376578970652	0.22375234433565436	0.30808295666354485	0.3929386070125313	0.5814066502848949
191.0	0	0.12154720209673663	0.22630796005827103	0.31145220216263186	0.39631337473274186	0.5867146873933086
192.0	0	0.12265497471335574	0.22887285484712824	0.31487706245054664	0.40037925549648923	0.5920442092206772
193.0	0	0.12393726387358503	0.23157868462880013	0.3184453060603132	0.4041401627243394	0.597245104114516
194.0	0	0.12539702972812988	0.2341425913229093	0.3219895127906517	0.40788740926307593	0.6025029643655972
195.0	0	0.1269227756205649	0.23633490021731043	0.32555489973192453	0.41215353763308776	0.6078047378398075
196.0	0	0.12845962043330814	0.23944264675197155	0.3291782004431083	0.4164318032234452	0.6148582348164401
197.0	0	0.12961635298037716	0.24236612309002423	0.3324169572969211	0.42071089527240885	0.6216265448851894
198.0	0	0.13111576408767273	0.24476383183780315	0.33581168022229396	0.42447015655057496	0.6273602720855289
199.0	0	0.132875980606851	0.24728181365545274	0.33925321859059054	0.42853376419645967	0.6329709903398354
200.0	0	0.1346824693904488	0.24941655045881486	0.34268333515766713	0.4331187291707368	0.6386213869929994
201.0	0	0.13652516777554402	0.2521316462763759	0.3459515491044593	0.43739532797012015	0.644307091288507
202.0	0	0.1383893538095805	0.2548912948884156	0.3489110971109691	0.44188513098715004	0.650026140338354
203.0	0	0.1401970098509039	0.25727716193988376	0.35220925233583616	0.4466599724854145	0.655781227353317
204.0	0	0.1420061235085873	0.25987060060167605	0.3553381039515246	0.45145860627158346	0.6615667649919016
