prob_fn	mu_0	omega_mu	sigma_0	omega_sigma	prob_tx	prob_bd_given_prev_tx	mu_tx	sigma_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx	trans_form
0.057748308	4.0982524	0.72410098	0.48454915	0.3509891	0.12796513	0.93344036	2.6891694	0.44477456	-4.1366716	-18.554541	-0.72949343	1.0	8.7471228e-09	1.0	0.024663192	0.0001342748	ve
0.061184194	4.0908305	0.71040854	0.4856874	0.36820873	0.12482454	0.9290921	2.5540644	0.19390401	-4.6397984	-18.721447	-1.5347943	1.0	7.4025095e-09	1.0	0.028606204	0.00074107968	ve
0.060833422	4.0927456	0.71726817	0.46726968	0.37553139	0.11860346	0.92523146	2.5713771	0.15967315	5.8358939	-18.608793	1.2917069	1.0	8.2852133e-09	1.0	0.039985976	0.026033971	ve
0.064229923	4.0832502	0.72495566	0.48074028	0.35227657	0.11433588	0.93864885	2.6793201	0.22443435	2.9690721	-18.693886	0.13707419	1.0	7.6093676e-09	1.0	0.031990405	0.002411173	ve
0.058686293	4.0797225	0.72166759	0.49316439	0.34130577	0.12242789	0.94361899	2.4169006	0.20026766	-2.9683219	-18.645578	-0.39416984	1.0	7.9859837e-09	1.0	0.034129811	0.0045784896	ve
0.065885292	4.0827701	0.73003288	0.49251524	0.3822189	0.11609233	0.93512402	2.4530965	0.25233237	-0.66541015	-18.466254	1.5088604	1.0	9.5544922e-09	1.0	0.029729011	0.015470177	ve
0.067468881	4.092751	0.7266407	0.48213946	0.38785826	0.11444475	0.96350436	2.5362493	0.25415815	-1.5270894	-18.833995	0.039132556	1.0	6.6145411e-09	1.0	0.035479134	0.0047384853	ve
0.062437554	4.0951295	0.71930051	0.4808756	0.41540011	0.1157779	0.95615536	2.0419736	1.8578002	4.9725113	-18.416515	-0.47771515	1.0	1.0041743e-08	1.0	0.032333079	0.015354577	ve
0.063520499	4.0884424	0.71452426	0.4795792	0.41648433	0.1249425	0.97118942	1.7917237	0.94193424	2.0968826	-18.469081	0.64700682	1.0	9.5275202e-09	1.0	0.02883975	0.0059540765	ve
0.071689996	4.090861	0.71134216	0.49143499	0.405172	0.11692324	0.94117439	2.0022286	0.90640919	4.2582777	-18.538241	1.4335332	1.0	8.890873e-09	1.0	0.031012148	0.016819378	ve
0.062000703	4.094972	0.70082053	0.49047809	0.415713	0.10927121	0.96930076	2.957989	0.24474169	10.05943	-18.777257	-0.36926701	1.0	7.0006873e-09	1.0	0.029515399	0.0025504565	ve
0.061859303	4.0914016	0.71417128	0.48922247	0.41785754	0.12618822	0.95761321	2.6980184	0.36596306	0.037559292	-18.780558	-0.49098128	1.0	6.9776183e-09	1.0	0.037281968	0.021312917	ve
0.060540373	4.0977346	0.70773346	0.48017333	0.42956809	0.11792785	0.94433863	3.1122422	0.87418631	-0.3785361	-18.487391	0.42648957	1.0	9.3546615e-09	1.0	0.022642985	0.0046422565	ve
0.058497016	4.1266188	0.70688253	0.48007996	0.42966489	0.11465193	0.92412381	2.5326836	0.85122216	-2.910383	-18.601536	0.55593305	1.0	8.3455643e-09	1.0	0.040781231	0.0046399764	ve
0.066332228	4.1042898	0.70820572	0.48471402	0.42351644	0.11965854	0.95063577	2.3978342	0.22841789	0.36817591	-18.650483	-0.60324799	1.0	7.9469092e-09	1.0	0.022041214	0.0075845086	ve
0.064182194	4.1094679	0.6999594	0.480941	0.41292931	0.12234709	0.95152201	2.4713816	0.17464858	-8.9225746	-18.54834	-1.0730962	1.0	8.801528e-09	1.0	0.030922872	0.013035093	ve
0.056016981	4.1095499	0.69082097	0.48158139	0.41567833	0.11966267	0.93753914	2.1638453	0.31972795	-3.976115	-18.810552	-0.116635	1.0	6.7714371e-09	1.0	0.030156823	0.010321828	ve
0.068783581	4.0768326	0.73454429	0.49457114	0.38227813	0.11936163	0.94407431	2.215675	1.1214822	4.7181843	-18.4881	0.0031481664	1.0	9.3480289e-09	1.0	0.034505486	0.005848024	ve
0.056516882	4.0849343	0.71998372	0.47945157	0.39107487	0.11619763	0.92422377	2.3430173	1.4206044	-4.2248897	-18.771549	-0.021167817	1.0	7.0407678e-09	1.0	0.02743879	0.012587397	ve
0.06336185	4.0753506	0.7160547	0.49013644	0.37532893	0.12238913	0.98042629	3.6306013	0.62289796	5.3247533	-18.502519	0.20984334	1.0	9.2142104e-09	1.0	0.034939657	0.0072278659	ve
0.06016877	4.0775033	0.69907492	0.49340188	0.3995473	0.11575628	0.9496951	2.0328265	0.93726041	-0.01995394	-18.727572	-0.75791864	1.0	7.3573086e-09	1.0	0.033088304	0.012825798	ve
0.063807552	4.1029497	0.6978479	0.48320086	0.41774917	0.11151488	0.97046737	4.9288604	1.4985001	-5.8216957	-18.498851	-0.28064228	1.0	9.2480658e-09	1.0	0.030814358	0.010458512	ve
0.067107959	4.1102961	0.69949414	0.48855032	0.43073177	0.12171189	0.96887134	3.4641569	0.49690557	-7.0074394	-18.652953	0.32453722	1.0	7.9273023e-09	1.0	0.02510135	0.014839742	ve
